What social media accounts do you currently use? Please select all that apply!  - Facebook ,What social media accounts do you currently use? Please select all that apply!  - Instagram ,What social media accounts do you currently use? Please select all that apply!  - Twitter ,What social media accounts do you currently use? Please select all that apply!  - TikTok ,What social media accounts do you currently use? Please select all that apply!  - LinkedIn,What social media accounts do you currently use? Please select all that apply!  - None of the above ,"On your main social media platform, how many profiles do you have? ","How many hours a day, approximately, do you spend using social media? This includes communicating, sharing and networking, blogs, personal email and instant messaging. ",What is your thoughts with brands being on social media? Please give as much detail as possible! ,Have you ever had a two-way conversation with a brand you have previously made a purchase from on a social media platform? ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Facebook ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Instagram ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Twitter ,On which social media platform have you had conversations with brands on? Please select all that apply!  - TikTok ,On which social media platform have you had conversations with brands on? Please select all that apply!  - LinkedIn ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Web chat on their website ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Other,Please state how much you trust a brand being recommended to you from the below sources:  - Recommendations from people that I know ,Please state how much you trust a brand being recommended to you from the below sources:  - Consumer opinions posted online ,Please state how much you trust a brand being recommended to you from the below sources:  - Brand websites ,Please state how much you trust a brand being recommended to you from the below sources:  - Newspaper articles ,Please state how much you trust a brand being recommended to you from the below sources:  - Brand sponsorship ,Please state how much you trust a brand being recommended to you from the below sources:  - TV advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Newspaper advertisement ,Please state how much you trust a brand being recommended to you from the below sources:  - Magazines ,Please state how much you trust a brand being recommended to you from the below sources:  - Billboard / Outdoor advertising ,Please state how much you trust a brand being recommended to you from the below sources:  - Radio ,Please state how much you trust a brand being recommended to you from the below sources:  - Emails I signed up for ,Please state how much you trust a brand being recommended to you from the below sources:  - Advertisements before movies ,Please state how much you trust a brand being recommended to you from the below sources:  - Search engine results advertisements (Google etc.) ,Please state how much you trust a brand being recommended to you from the below sources:  - Online video advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Online banner advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Text advertisements on mobile phones ,How frequently do you share brand recommendations online? ,When was the last time you bought from a brand you have never purchased from before? ,Where did you first purchase that new brand from?,"On a scale from 0-10, how important is a brand's purpose in influencing your purchasing decision? (For example, Patagonia's fight against climate change would be their 'brand purpose').","Generally, how much do you trust that brands are living up to their brand purpose? ","Do you remember a brand better because of their tagline? (For example, Tesco's 'Every Little Helps' tagline)",What helps you understand a brand's offering better: Tagline or Hashtag?,Gender,Age,Irish County,Device OS
Yes,No,No,No,No,No,1 ,2-4 hours ,Love to see different brands on social media ,No,,,,,,,,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Every few weeks ,I only ever buy from brands I'm familiar with,,5,Trust Completely ,Yes ,Tagline,Male,36 53,Munster,I OS
Yes,No,No,No,No,No,1 ,Less than 1 hour ,Don't know ,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Completely ,Never ,In the last 18 months ,Their website,1,Neither Trust or Distrust ,I don't know ,Neither,Male,36 53,Connacht,Web
No,No,No,No,No,Yes,I do not have social media ,Less than 1 hour ,I don’t mind ,No,,,,,,,,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,I only ever buy from brands I'm familiar with,,9,Trust Somewhat ,Yes ,Neither,Male,36 53,Ulster ROI Only,I OS
No,Yes,No,No,No,No,1 ,Less than 1 hour ,Counterproductive for them as people get to vent,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Every few months ,In the last 18 months ,Other,2,Distrust Somewhat ,Yes ,Tagline,Male,36 53,Connacht,I OS
Yes,No,Yes,Yes,No,No,1 ,2-4 hours ,A bit too much ,No,,,,,,,,Trust Completely ,Trust Somewhat ,Distrust Completely ,Neither Trust or Distrust ,Distrust Completely ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Every few weeks ,In the last 6 months ,Their website,4,Trust Somewhat ,Yes ,Tagline,Male,36 53,Dublin,I OS
Yes,No,No,No,No,No,More than 2 ,4-6 hours ,Good to relex,Yes,Yes,Yes,No,No,No,No,No,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Trust Completely ,Daily ,In the past week ,Their Instagram page,5,Trust Somewhat ,Yes ,Hashtag ,Male,36 53,Dublin,I OS
Yes,Yes,No,Yes,Yes,No,1 ,1-2 hours ,I think it is fine and a good platform to advertise brand. Allows more relevant ads for the consumers ,Yes,Yes,No,No,No,No,No,No,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Every few months ,In the last month ,Their website,6,Trust Somewhat ,No ,Tagline,Male,36 53,Munster,Web
No,No,Yes,No,No,No,1 ,Less than 1 hour ,twitter,No,,,,,,,,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Completely ,Trust Completely ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Completely ,Neither Trust or Distrust ,Distrust Completely ,Distrust Completely ,Distrust Completely ,Distrust Completely ,Never ,In the last 18 months ,A department store,6,Neither Trust or Distrust ,I don't know ,Neither,Male,36 53,Connacht,Web
Yes,Yes,No,No,Yes,No,1 ,Less than 1 hour ,Positive. Good way to build relationship wi5j customers.,Yes,No,Yes,No,No,No,No,No,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Distrust Completely ,Every few months ,In the past week ,Other,6,Trust Somewhat ,Yes ,Tagline,Male,36 53,Leinster,Android
Yes,Yes,No,No,No,No,1 ,1-2 hours ,I don’t mind once truthful ,Yes,Yes,Yes,No,No,No,No,No,Trust Completely ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Completely ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Every few months ,In the last 6 months ,Their website,6,Trust Somewhat ,I don't know ,Hashtag ,Male,36 53,Dublin,I OS
Yes,Yes,Yes,Yes,No,No,1 ,2-4 hours ,It is good because you get to see new products that are being released,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Every few months ,In the past week ,Other,6,Trust Somewhat ,Yes ,Tagline,Male,36 53,Connacht,I OS
Yes,Yes,No,Yes,No,No,2,2-4 hours ,It's great for getting noticed and sharing offers ,Yes,Yes,No,No,No,No,No,No,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Completely ,Distrust Somewhat,Trust Completely ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Every few weeks ,In the past week ,Another of their social media accounts,7,Trust Somewhat ,Yes ,Tagline,Male,36 53,Connacht,Android
Yes,Yes,Yes,No,No,No,2,Less than 1 hour ,"It's good, as most customer service contact points are terrible. If you post on a brands social media page and they do not reply, there's little chance of buying from them",Yes,Yes,No,Yes,No,No,Yes,No,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Completely ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Completely ,Trust Somewhat ,Distrust Completely ,Every few weeks ,In the past week ,Other,5,Neither Trust or Distrust ,No ,Tagline,Male,36 53,Munster,Android
