What social media accounts do you currently use? Please select all that apply!  - Facebook ,What social media accounts do you currently use? Please select all that apply!  - Instagram ,What social media accounts do you currently use? Please select all that apply!  - Twitter ,What social media accounts do you currently use? Please select all that apply!  - TikTok ,What social media accounts do you currently use? Please select all that apply!  - LinkedIn,What social media accounts do you currently use? Please select all that apply!  - None of the above ,"On your main social media platform, how many profiles do you have? ","How many hours a day, approximately, do you spend using social media? This includes communicating, sharing and networking, blogs, personal email and instant messaging. ",What is your thoughts with brands being on social media? Please give as much detail as possible! ,Have you ever had a two-way conversation with a brand you have previously made a purchase from on a social media platform? ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Facebook ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Instagram ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Twitter ,On which social media platform have you had conversations with brands on? Please select all that apply!  - TikTok ,On which social media platform have you had conversations with brands on? Please select all that apply!  - LinkedIn ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Web chat on their website ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Other,Please state how much you trust a brand being recommended to you from the below sources:  - Recommendations from people that I know ,Please state how much you trust a brand being recommended to you from the below sources:  - Consumer opinions posted online ,Please state how much you trust a brand being recommended to you from the below sources:  - Brand websites ,Please state how much you trust a brand being recommended to you from the below sources:  - Newspaper articles ,Please state how much you trust a brand being recommended to you from the below sources:  - Brand sponsorship ,Please state how much you trust a brand being recommended to you from the below sources:  - TV advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Newspaper advertisement ,Please state how much you trust a brand being recommended to you from the below sources:  - Magazines ,Please state how much you trust a brand being recommended to you from the below sources:  - Billboard / Outdoor advertising ,Please state how much you trust a brand being recommended to you from the below sources:  - Radio ,Please state how much you trust a brand being recommended to you from the below sources:  - Emails I signed up for ,Please state how much you trust a brand being recommended to you from the below sources:  - Advertisements before movies ,Please state how much you trust a brand being recommended to you from the below sources:  - Search engine results advertisements (Google etc.) ,Please state how much you trust a brand being recommended to you from the below sources:  - Online video advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Online banner advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Text advertisements on mobile phones ,How frequently do you share brand recommendations online? ,When was the last time you bought from a brand you have never purchased from before? ,Where did you first purchase that new brand from?,"On a scale from 0-10, how important is a brand's purpose in influencing your purchasing decision? (For example, Patagonia's fight against climate change would be their 'brand purpose').","Generally, how much do you trust that brands are living up to their brand purpose? ","Do you remember a brand better because of their tagline? (For example, Tesco's 'Every Little Helps' tagline)",What helps you understand a brand's offering better: Tagline or Hashtag?,Gender,Irish County,Device OS,Age
Yes,Yes,No,No,Yes,No,2,1-2 hours ,hjk jgjkgkkgk dgddj,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Completely ,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Trust Completely ,Neither Trust or Distrust ,Every few months ,In the last 6 months ,Another of their social media accounts,8,Neither Trust or Distrust ,No ,Tagline,Female,Dublin,Web,36 53
Yes,Yes,Yes,No,Yes,No,1 ,4-6 hours ,"I don't mind them if they're a trusted and already well known brand. I won't follow their accounts (unless they're something small and interesting like artisan jewelry or artistic in that way) but I will still see their ads either being shared by friends (promotional offers) or promoted posts. In relation to small brands, I tend not to trust the ones that don't have a social media or ones that do don't have an accompanying website with details of where they are headquartered and some information about where their stock comes from.",No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Never ,In the last month ,Other,9,Distrust Completely ,Yes ,Tagline,Female,Leinster,Android,18 22
Yes,No,Yes,No,Yes,No,1 ,Less than 1 hour ,"I dislike social media but I feel I get better information about brands on social media. I use social media to interact with the brand I intend to buy. For example, if I want to eat out, I prefer going to their social media page rather than their website. 
",Yes,No,No,Yes,No,No,Yes,No,Trust Completely ,Neither Trust or Distrust ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Distrust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Every few months ,In the last 6 months ,Their website,9,Neither Trust or Distrust ,Yes ,Tagline,Male,Ulster ROI Only,Web,36 53
No,Yes,No,Yes,No,No,1 ,2-4 hours ,"Sometimes they ask too many social media influencers to ad for them meaning the more they say buy it the less likely u will , also some of the influencers would sell for anything ",No,,,,,,,,Trust Completely ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Completely ,Distrust Completely ,Distrust Completely ,Never ,In the last month ,Their own retail shop,1,Trust Somewhat ,I don't know ,Tagline,Female,Munster,I OS,36 53
Yes,No,No,No,No,No,2,1-2 hours ,I think it’s a good platform to reach target audiences ,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Every few months ,In the last 6 months ,Their website,7,Distrust Somewhat ,Yes ,Hashtag ,Female,Munster,I OS,36 53
Yes,Yes,Yes,Yes,Yes,No,1 ,Over 6 hours ,"Can be useful for seeing new products and offers, can also be overloaded with content",No,,,,,,,,Trust Completely ,Trust Somewhat ,Distrust Somewhat,Trust Completely ,Neither Trust or Distrust ,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Completely ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Never ,In the last month ,A department store,8,Trust Somewhat ,Yes ,Hashtag ,Male,Dublin,I OS,23 35
Yes,Yes,No,Yes,No,No,1 ,1-2 hours ,Great way to advertise goods,Yes,Yes,No,No,No,No,No,No,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Every few months ,In the last month ,A department store,7,Trust Somewhat ,Yes ,Tagline,Male,Leinster,Web,36 53
Yes,Yes,Yes,No,Yes,No,1 ,1-2 hours ,Doing really mind as it's a oppertunity to see something you otherwise may have missed,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the last 18 months ,Their website,8,Neither Trust or Distrust ,I don't know ,Neither,Female,Connacht,Android,36 53
Yes,Yes,No,No,No,No,2,2-4 hours ,Great way to connect,Yes,Yes,Yes,No,No,No,No,No,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Every few weeks ,In the last month ,Another of their social media accounts,7,Neither Trust or Distrust ,No ,Tagline,Male,Munster,Web,36 53
Yes,Yes,No,No,Yes,No,1 ,1-2 hours ,I think it's the best way for brands to advertise now as there are so many different influencers,Yes,No,Yes,No,No,No,No,No,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Distrust Completely ,Distrust Completely ,Never ,In the last month ,Their website,5,Neither Trust or Distrust ,Yes ,Hashtag ,Female,Connacht,Android,23 35
No,No,No,No,No,Yes,I do not have social media ,Less than 1 hour ,None,No,,,,,,,,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Completely ,Never ,I only ever buy from brands I'm familiar with,,10,Neither Trust or Distrust ,No ,Neither,Male,Dublin,Android,18 22
Yes,Yes,No,No,Yes,No,1 ,4-6 hours ,I think it's fair. Best way of publicity nowadays,Yes,Yes,Yes,No,No,No,Yes,No,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the past week ,Other,3,Distrust Somewhat ,Yes ,Tagline,Male,Munster,Web,23 35
No,No,No,No,No,Yes,I do not have social media ,Less than 1 hour ,Have no thoughts,No,,,,,,,,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the last 18 months ,Their website,5,Trust Somewhat ,No ,Neither,Male,Munster,I OS,23 35
No,No,No,No,No,Yes,I do not have social media ,Less than 1 hour ,Nothing,No,,,,,,,,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the last 18 months ,Other,9,Trust Somewhat ,No ,Neither,Female,Ulster ROI Only,Web,56 65
Yes,Yes,Yes,Yes,No,No,1 ,2-4 hours ,I love seeing different brands especially ones im not familiar with,Yes,No,Yes,No,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Somewhat ,Neither Trust or Distrust ,Every few days ,In the past week ,Their website,10,Trust Completely ,Yes ,Tagline,Female,Munster,Web,23 35
No,Yes,Yes,Yes,No,No,1 ,2-4 hours ,No problems with it to be honest,Yes,No,No,Yes,No,No,No,No,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the last month ,Their website,8,Trust Somewhat ,Yes ,Tagline,Male,Leinster,Web,36 53
Yes,Yes,No,No,No,No,1 ,2-4 hours ,"It depends on how many ""influencers"" they get to promote the brand",Yes,No,Yes,No,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Every few months ,In the last month ,Their website,7,Neither Trust or Distrust ,Yes ,Tagline,Female,Munster,Web,36 53
Yes,Yes,No,Yes,Yes,No,1 ,1-2 hours ,I don’t enjoy having ads which offer nothing to me in between catching up with friends. I scroll past them as quickly as possible. Although I do like to enter competitions which can be promote on social media.,No,,,,,,,,Neither Trust or Distrust ,Distrust Somewhat,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Never ,In the last 6 months ,Their website,7,Distrust Somewhat ,Yes ,Tagline,Male,Leinster,I OS,23 35
No,Yes,Yes,No,Yes,No,1 ,1-2 hours ,It informs the public of their products and services ,No,,,,,,,,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Never ,In the last month ,Their Instagram page,7,Trust Somewhat ,No ,Neither,Female,Connacht,Web,56 65
Yes,Yes,No,No,No,No,1 ,1-2 hours ,"I like following brands, I get to know when they introduce new products or have sales",Yes,Yes,No,No,No,No,No,No,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Completely ,Distrust Completely ,Every few days ,In the past week ,Their website,8,Trust Somewhat ,No ,Neither,Female,Ulster ROI Only,Android,56 65
No,Yes,No,Yes,No,No,1 ,1-2 hours ,I don't take notice of them,No,,,,,,,,Trust Somewhat ,Distrust Completely ,Neither Trust or Distrust ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Completely ,Never ,In the past week ,A department store,4,Distrust Somewhat ,No ,Neither,Male,Munster,Android,18 22
Yes,Yes,No,Yes,No,No,More than 2 ,2-4 hours ,I think its good to find new information and interesting brands,Yes,Yes,Yes,No,No,No,No,No,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Every few days ,In the last month ,Their Facebook page,6,Trust Completely ,Yes ,Hashtag ,Female,Connacht,I OS,23 35
Yes,Yes,Yes,Yes,Yes,No,More than 2 ,Less than 1 hour ,annoying ,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Every few months ,In the past week ,Their website,5,Distrust Somewhat ,No ,Neither,Male,Leinster,Web,23 35
Yes,Yes,Yes,No,No,No,More than 2 ,2-4 hours ,"It's the only way for them to make money ,everyone is online and social media is booming",Yes,Yes,No,Yes,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Every few months ,In the last 6 months ,Their website,5,Trust Somewhat ,Yes ,Hashtag ,Female,Munster,Android,23 35
No,No,Yes,No,No,No,1 ,1-2 hours ,Too many ads for these brands,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Never ,In the last 6 months ,Their website,5,Neither Trust or Distrust ,Yes ,Neither,Male,Ulster ROI Only,Android,23 35
Yes,Yes,Yes,No,Yes,No,1 ,Less than 1 hour ,It can be a useful customer service option ,No,,,,,,,,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Never ,In the last 6 months ,Their website,5,Distrust Somewhat ,Yes ,Tagline,Male,Leinster,Web,36 53
Yes,Yes,No,No,No,No,2,1-2 hours ,I’m often only aware of brands from seeing them on social media so I think it is a great way to advertise and make people aware of products ,No,,,,,,,,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Never ,In the last 6 months ,A department store,8,Trust Somewhat ,Yes ,Tagline,Female,Munster,I OS,36 53
Yes,Yes,Yes,Yes,Yes,No,1 ,Less than 1 hour ,Can be informative ,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Every few weeks ,In the last month ,A department store,9,Trust Somewhat ,Yes ,Tagline,Male,Munster,Web,36 53
No,Yes,Yes,No,Yes,No,1 ,1-2 hours ,Clear information in small time ,No,,,,,,,,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Every few months ,In the last 18 months ,Their own retail shop,6,Trust Somewhat ,Yes ,Tagline,Male,Munster,I OS,36 53
Yes,Yes,Yes,Yes,No,No,1 ,2-4 hours ,It helps a lot with advertising,Yes,No,Yes,No,No,No,Yes,No,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Trust Somewhat ,Distrust Somewhat,Distrust Completely ,Distrust Completely ,Distrust Somewhat,Every few months ,In the last month ,Their website,7,Distrust Somewhat ,Yes ,Tagline,Female,Ulster ROI Only,I OS,18 22
Yes,No,Yes,No,Yes,No,1 ,Less than 1 hour ,not a lot,No,,,,,,,,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Never ,I only ever buy from brands I'm familiar with,,2,Distrust Somewhat ,Yes ,Tagline,Male,Leinster,Web,56 65
Yes,Yes,No,No,No,No,1 ,1-2 hours ,Great platform for advertising ,No,,,,,,,,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Every few days ,In the last month ,Their Facebook page,3,Trust Somewhat ,Yes ,Neither,Female,Dublin,Android,56 65
Yes,Yes,No,No,No,No,1 ,4-6 hours ,I like them on social media it gives me an insight to what they are about ,No,,,,,,,,Trust Completely ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Every few months ,In the last 6 months ,Their website,4,Trust Somewhat ,No ,Hashtag ,Female,Munster,Web,36 53
No,Yes,No,No,No,No,1 ,2-4 hours ,Love it find out loads about brands through social media ,No,,,,,,,,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Trust Completely ,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Distrust Completely ,Every few weeks ,In the last 6 months ,Their website,7,Trust Somewhat ,Yes ,Tagline,Female,Ulster ROI Only,I OS,23 35
Yes,Yes,Yes,Yes,Yes,No,1 ,4-6 hours ,Too addicting ,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Completely ,Never ,In the last month ,Their website,8,Distrust Somewhat ,Yes ,Tagline,Female,Leinster,I OS,23 35
Yes,Yes,No,Yes,Yes,No,1 ,1-2 hours ,I love hearing about special offers and competitions ,Yes,No,Yes,No,No,No,No,No,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Every few weeks ,In the last month ,Their Instagram page,7,Trust Somewhat ,Yes ,Tagline,Male,Leinster,I OS,23 35
No,No,No,No,Yes,No,1 ,Less than 1 hour ,None whatsoever ,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Every few months ,In the last month ,Their website,7,Trust Somewhat ,Yes ,Tagline,Male,Leinster,Web,36 53
No,Yes,Yes,No,No,No,More than 2 ,2-4 hours ,Help make them more appealing,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Never ,In the last 6 months ,Their own retail shop,5,Neither Trust or Distrust ,Yes ,Tagline,Male,Connacht,Android,23 35
Yes,Yes,Yes,No,No,No,More than 2 ,Over 6 hours ,"They advertise very easy, get wuick to the clients.",Yes,Yes,No,No,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Every few weeks ,In the past week ,Their own retail shop,10,Trust Somewhat ,Yes ,Tagline,Male,Dublin,Web,36 53
Yes,Yes,No,Yes,No,No,1 ,2-4 hours ,Great. Get to learn more about the brands before purchasing,Yes,Yes,No,No,No,No,No,No,Trust Completely ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Never ,In the last month ,Their own retail shop,10,Trust Somewhat ,Yes ,Tagline,Female,Leinster,Android,23 35
Yes,Yes,Yes,Yes,Yes,No,2,Over 6 hours ,It’s very good marketing as I’ve bought items I never planned to just because it popped up in my face and I liked it,Yes,No,Yes,No,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Completely ,Neither Trust or Distrust ,Trust Completely ,Trust Completely ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Every few days ,In the last 6 months ,Their Instagram page,8,Trust Completely ,Yes ,Tagline,Female,Munster,Web,18 22
Yes,Yes,No,Yes,Yes,No,1 ,4-6 hours ,"I think its a good idea because ,let say you are very busy person it would be much easier for you to buy your stuff online clothes,food ,furniture, cars and you also have a variety of brand many choices ",No,,,,,,,,Trust Completely ,Neither Trust or Distrust ,Trust Completely ,Trust Completely ,Trust Completely ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Distrust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Distrust Completely ,Every few days ,In the last 18 months ,Other,3,Trust Somewhat ,No ,Hashtag ,Female,Dublin,Web,23 35
Yes,No,No,No,Yes,No,1 ,Less than 1 hour ,I think it's a good idea as they reach a lot more people,No,,,,,,,,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Completely ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Never ,In the last 6 months ,Their website,7,Trust Somewhat ,Yes ,Tagline,Female,Ulster ROI Only,Web,36 53
